severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2024-01-04T14:39:26+0000		15.0	danko@etf.rs	java:S1488	com.zuehlke:secure-software-development	2min	"Immediately return this expression instead of assigning it to the temporary variable ""authorized""."	2024-01-01T21:35:29+0000	CODE_SMELL	"clumsy / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/config/SecurityUtil.java		MAIN	{startLine=15.0, endLine=15.0, startOffset=29.0, endOffset=89.0}	2min	AYzU6mL5cFHSrU_6zLV1	25920dde570c8d101a1e5e9b4a6b61d3	OPEN
MAJOR	2024-01-04T14:39:26+0000		16.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/CommentController.java		MAIN	{startLine=16.0, endLine=16.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mMXcFHSrU_6zLWE	b486ef261fa8224eae469f0a5a734643	OPEN
MAJOR	2024-01-04T14:39:26+0000		22.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java		MAIN	{startLine=22.0, endLine=22.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mMPcFHSrU_6zLWC	1a46323cad51dae0ca429d6f9a76aa95	OPEN
MAJOR	2024-01-04T14:39:26+0000		23.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""auditLogger"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java		MAIN	{startLine=23.0, endLine=23.0, startOffset=37.0, endOffset=48.0}	5min	AYzU6mMPcFHSrU_6zLWD	524050c1439f3054bac7e09a38b71fe9	OPEN
CRITICAL	2024-01-04T14:39:26+0000		42.0	danko@etf.rs	java:S1192	com.zuehlke:secure-software-development	10min	"Define a constant instead of duplicating this literal ""gifts"" 4 times."	2024-01-01T21:35:29+0000	CODE_SMELL	"design / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java	"{locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java, textRange={startLine=42.0, endLine=42.0, startOffset=27.0, endOffset=34.0}, msg=Duplication}]} / {locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java, textRange={startLine=43.0, endLine=43.0, startOffset=15.0, endOffset=22.0}, msg=Duplication}]} / {locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java, textRange={startLine=61.0, endLine=61.0, startOffset=31.0, endOffset=38.0}, msg=Duplication}]} / {locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java, textRange={startLine=62.0, endLine=62.0, startOffset=19.0, endOffset=26.0}, msg=Duplication}]} / "	MAIN	{startLine=42.0, endLine=42.0, startOffset=27.0, endOffset=34.0}	10min	AYzU6mMPcFHSrU_6zLV9	9321bb6c5a5037fe9b0d44ec715e2291	OPEN
MINOR	2024-01-04T14:39:26+0000		47.0	danko@etf.rs	java:S100	com.zuehlke:secure-software-development	5min	Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2024-01-01T21:35:29+0000	CODE_SMELL	"convention / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java		MAIN	{startLine=47.0, endLine=47.0, startOffset=18.0, endOffset=28.0}	5min	AYzU6mMPcFHSrU_6zLV_	f4e3deb8296b38c5031d717de2cc84a7	OPEN
MINOR	2024-01-04T14:39:26+0000		75.0	danko@etf.rs	java:S1155	com.zuehlke:secure-software-development	2min	Use isEmpty() to check whether the collection is empty or not.	2024-01-01T21:35:29+0000	CODE_SMELL	"clumsy / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java		MAIN	{startLine=75.0, endLine=75.0, startOffset=12.0, endOffset=30.0}	2min	AYzU6mMPcFHSrU_6zLV-	8a3013770be9ddc78b761397beacf68a	OPEN
MINOR	2024-01-04T14:39:26+0000		76.0	danko@etf.rs	java:S1612	com.zuehlke:secure-software-development	2min	Replace this lambda with a method reference.	2024-01-01T21:35:29+0000	CODE_SMELL	"java8 / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java		MAIN	{startLine=76.0, endLine=76.0, startOffset=60.0, endOffset=62.0}	2min	AYzU6mMPcFHSrU_6zLWA	53c3b1b315807fd5efa5bf7952988f94	OPEN
MINOR	2024-01-04T14:39:26+0000		94.0	danko@etf.rs	java:S1130	com.zuehlke:secure-software-development	5min	Remove the declaration of thrown exception 'java.sql.SQLException', as it cannot be thrown from method's body.	2024-01-01T21:35:29+0000	CODE_SMELL	"clumsy / error-handling / redundant / unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/GiftController.java		MAIN	{startLine=94.0, endLine=94.0, startOffset=53.0, endOffset=65.0}	5min	AYzU6mMPcFHSrU_6zLWB	3de0e93af6954120c20ab1160f9ee6ed	OPEN
MINOR	2024-01-04T14:39:26+0000		9.0	danko@etf.rs	java:S1128	com.zuehlke:secure-software-development	2min	Remove this unused import 'org.springframework.security.core.context.SecurityContextHolder'.	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/LoginController.java		MAIN	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=71.0}	2min	AYzU6mMdcFHSrU_6zLWF	4c6f6268c31f224f34138c090aec1e53	OPEN
MINOR	2024-01-04T14:39:26+0000		38.0	danko@etf.rs	java:S1116	com.zuehlke:secure-software-development	2min	Remove this empty statement.	2024-01-01T21:35:29+0000	CODE_SMELL	"cert / unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/LoginController.java		MAIN	{startLine=38.0, endLine=38.0, startOffset=75.0, endOffset=76.0}	2min	AYzU6mMdcFHSrU_6zLWG	40fda7b534bedf9d7881d03416b93a9d	OPEN
MAJOR	2024-01-04T14:39:26+0000		23.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/PersonsController.java		MAIN	{startLine=23.0, endLine=23.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mMjcFHSrU_6zLWI	664dd2dbb633792c2664222302388ab3	OPEN
MAJOR	2024-01-04T14:39:26+0000		24.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""auditLogger"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/PersonsController.java		MAIN	{startLine=24.0, endLine=24.0, startOffset=37.0, endOffset=48.0}	5min	AYzU6mMjcFHSrU_6zLWJ	1eb9a3f4f8c79fd365566d620fe1062f	OPEN
CRITICAL	2024-01-04T14:39:26+0000		36.0	danko@etf.rs	java:S1192	com.zuehlke:secure-software-development	10min	"Define a constant instead of duplicating this literal ""person"" 4 times."	2024-01-01T21:35:29+0000	CODE_SMELL	"design / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/PersonsController.java	"{locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/PersonsController.java, textRange={startLine=36.0, endLine=36.0, startOffset=27.0, endOffset=35.0}, msg=Duplication}]} / {locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/PersonsController.java, textRange={startLine=37.0, endLine=37.0, startOffset=15.0, endOffset=23.0}, msg=Duplication}]} / {locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/PersonsController.java, textRange={startLine=43.0, endLine=43.0, startOffset=27.0, endOffset=35.0}, msg=Duplication}]} / {locations=[{component=com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/PersonsController.java, textRange={startLine=44.0, endLine=44.0, startOffset=15.0, endOffset=23.0}, msg=Duplication}]} / "	MAIN	{startLine=36.0, endLine=36.0, startOffset=27.0, endOffset=35.0}	10min	AYzU6mMicFHSrU_6zLWH	d36435bd690d2eafcb971e24c655aeaf	OPEN
MINOR	2024-01-04T14:39:26+0000		3.0	danko@etf.rs	java:S1128	com.zuehlke:secure-software-development	2min	Remove this unused import 'com.zuehlke.securesoftwaredevelopment.domain.Comment'.	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/RatingsController.java		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=60.0}	2min	AYzU6mMrcFHSrU_6zLWL	7aa7284c595257c9f38becee2b9bbc88	OPEN
MINOR	2024-01-04T14:39:26+0000		6.0	danko@etf.rs	java:S1128	com.zuehlke:secure-software-development	2min	Remove this unused import 'com.zuehlke.securesoftwaredevelopment.repository.CommentRepository'.	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/RatingsController.java		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=74.0}	2min	AYzU6mMrcFHSrU_6zLWK	7d2fcb3dc8b9ae316aa9c1c95dc627f7	OPEN
MINOR	2024-01-04T14:39:26+0000		10.0	danko@etf.rs	java:S1128	com.zuehlke:secure-software-development	2min	Remove this unused import 'org.springframework.http.ResponseEntity'.	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/RatingsController.java		MAIN	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=47.0}	2min	AYzU6mMrcFHSrU_6zLWM	40ab9c4f21ef047367cd75e8c02d60d5	OPEN
MAJOR	2024-01-04T14:39:26+0000		18.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/controller/RatingsController.java		MAIN	{startLine=18.0, endLine=18.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mMrcFHSrU_6zLWN	bd28f6e2c0067433b37b9068361f4115	OPEN
MAJOR	2024-01-04T14:39:26+0000		4.0	danko@etf.rs	java:S1700	com.zuehlke:secure-software-development	10min	"Rename field ""address"""	2024-01-01T21:35:29+0000	CODE_SMELL	"brain-overload / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/domain/Address.java		MAIN	{startLine=4.0, endLine=4.0, startOffset=19.0, endOffset=26.0}	10min	AYzU6mLBcFHSrU_6zLVs	27aa4ab7415706f85d71a67c2aa547cb	OPEN
MAJOR	2024-01-04T14:39:26+0000		6.0	danko@etf.rs	java:S1700	com.zuehlke:secure-software-development	10min	"Rename field ""comment"""	2024-01-01T21:35:29+0000	CODE_SMELL	"brain-overload / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/domain/Comment.java		MAIN	{startLine=6.0, endLine=6.0, startOffset=19.0, endOffset=26.0}	10min	AYzU6mKZcFHSrU_6zLVo	3ed42d4b537f5fdb36fdf1ea0d6b44d6	OPEN
MAJOR	2024-01-04T14:39:26+0000		-	danko@etf.rs	common-java:DuplicatedBlocks	com.zuehlke:secure-software-development	20min	1 duplicated blocks of code must be removed.	2024-01-01T21:35:29+0000	CODE_SMELL	"pitfall / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/domain/Gift.java		MAIN	-	20min	AYzU6mKkcFHSrU_6zLVp	-	OPEN
MAJOR	2024-01-04T14:39:26+0000		-	danko@etf.rs	common-java:DuplicatedBlocks	com.zuehlke:secure-software-development	20min	1 duplicated blocks of code must be removed.	2024-01-01T21:35:29+0000	CODE_SMELL	"pitfall / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/domain/NewGift.java		MAIN	-	20min	AYzU6mLJcFHSrU_6zLVt	-	OPEN
MAJOR	2024-01-04T14:39:26+0000		20.0	danko@etf.rs	java:S4165	com.zuehlke:secure-software-development	5min	"Remove this useless assignment; ""id"" already holds the assigned value along all execution paths."	2024-01-01T21:35:29+0000	CODE_SMELL	"redundant / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/domain/Person.java		MAIN	{startLine=20.0, endLine=20.0, startOffset=8.0, endOffset=20.0}	5min	AYzU6mK3cFHSrU_6zLVr	3b3246cc7c41bb7a32dbc348497148d0	OPEN
MAJOR	2024-01-04T14:39:26+0000		9.0	danko@etf.rs	java:S1700	com.zuehlke:secure-software-development	10min	"Rename field ""rating"""	2024-01-01T21:35:29+0000	CODE_SMELL	"brain-overload / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/domain/Rating.java		MAIN	{startLine=9.0, endLine=9.0, startOffset=16.0, endOffset=22.0}	10min	AYzU6mKscFHSrU_6zLVq	65e352ea9264837345376209165c06ce	OPEN
MAJOR	2024-01-04T14:39:26+0000		16.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/CommentRepository.java		MAIN	{startLine=16.0, endLine=16.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mKBcFHSrU_6zLVk	2a37dc03b1f35fb4ced086263a40eb90	OPEN
MAJOR	2024-01-04T14:39:26+0000		19.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/GiftRepository.java		MAIN	{startLine=19.0, endLine=19.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mJAcFHSrU_6zLVK	73afcf49645e1c3bff7c16c9e5e30068	OPEN
MAJOR	2024-01-04T14:39:26+0000		20.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""auditLogger"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/GiftRepository.java		MAIN	{startLine=20.0, endLine=20.0, startOffset=37.0, endOffset=48.0}	5min	AYzU6mJAcFHSrU_6zLVL	d9e83c39d03d91c3ddd537c28c033c02	OPEN
MAJOR	2024-01-04T14:39:26+0000		73.0	danko@etf.rs	java:S3655	com.zuehlke:secure-software-development	10min	"Call ""Optional#isPresent()"" before accessing the value."	2024-01-01T21:35:29+0000	BUG	"cwe / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/GiftRepository.java		MAIN	{startLine=73.0, endLine=79.0, startOffset=30.0, endOffset=34.0}	10min	AYzU6mI_cFHSrU_6zLU9	612267026d55598c2c595680d83b4dc0	OPEN
MAJOR	2024-01-04T14:39:26+0000		77.0	danko@etf.rs	java:S112	com.zuehlke:secure-software-development	20min	Define and throw a dedicated exception instead of using a generic one.	2024-01-01T21:35:29+0000	CODE_SMELL	"cert / cwe / error-handling / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/GiftRepository.java		MAIN	{startLine=77.0, endLine=77.0, startOffset=38.0, endOffset=54.0}	20min	AYzU6mI_cFHSrU_6zLU8	fdda924e16c6c8cb6afc035461946766	OPEN
MAJOR	2024-01-04T14:39:26+0000		14.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/HashedUserRepository.java		MAIN	{startLine=14.0, endLine=14.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mDgcFHSrU_6zLUw	954e082047fff3cd8c56d2fe93a6c79d	OPEN
MAJOR	2024-01-04T14:39:26+0000		19.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/PermissionRepository.java		MAIN	{startLine=19.0, endLine=19.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mKKcFHSrU_6zLVn	fd58633f1237f093a2ff18c9f6c1484e	OPEN
MINOR	2024-01-04T14:39:26+0000		4.0	danko@etf.rs	java:S1128	com.zuehlke:secure-software-development	2min	Remove this unused import 'com.zuehlke.securesoftwaredevelopment.config.Entity'.	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/PersonRepository.java		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=59.0}	2min	AYzU6mIocFHSrU_6zLUx	c1c55cdaa681af340271f903fd388767	OPEN
MAJOR	2024-01-04T14:39:26+0000		18.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/PersonRepository.java		MAIN	{startLine=18.0, endLine=18.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mIocFHSrU_6zLU6	d33303ef339efe286695632e9758d559	OPEN
MAJOR	2024-01-04T14:39:26+0000		19.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""auditLogger"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/PersonRepository.java		MAIN	{startLine=19.0, endLine=19.0, startOffset=37.0, endOffset=48.0}	5min	AYzU6mIocFHSrU_6zLU7	1eb9a3f4f8c79fd365566d620fe1062f	OPEN
MINOR	2024-01-04T14:39:26+0000		3.0	danko@etf.rs	java:S1128	com.zuehlke:secure-software-development	2min	Remove this unused import 'com.zuehlke.securesoftwaredevelopment.domain.Comment'.	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/RatingRepository.java		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=60.0}	2min	AYzU6mJ2cFHSrU_6zLVa	7aa7284c595257c9f38becee2b9bbc88	OPEN
MAJOR	2024-01-04T14:39:26+0000		17.0	danko@etf.rs	java:S1068	com.zuehlke:secure-software-development	5min	"Remove this unused ""LOG"" private field."	2024-01-01T21:35:29+0000	CODE_SMELL	"unused / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/RatingRepository.java		MAIN	{startLine=17.0, endLine=17.0, startOffset=32.0, endOffset=35.0}	5min	AYzU6mJ2cFHSrU_6zLVf	c51a3343762d4cffc9f49acf5b911a33	OPEN
BLOCKER	2024-01-04T14:39:26+0000		36.0	danko@etf.rs	java:S2095	com.zuehlke:secure-software-development	5min	"Use try-with-resources or close this ""PreparedStatement"" in a ""finally"" clause."	2024-01-01T21:35:29+0000	BUG	"cert / cwe / denial-of-service / leak / "	com.zuehlke:secure-software-development:src/main/java/com/zuehlke/securesoftwaredevelopment/repository/RatingRepository.java		MAIN	{startLine=36.0, endLine=36.0, startOffset=54.0, endOffset=89.0}	5min	AYzU6mJ2cFHSrU_6zLVY	92106abdf89aeb3060ba05614959ecc5	OPEN
